PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Tvoroyri,Tverra,Faroe Islands,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,61.55,-6.8
Torshavn,Thorshavn,Faroe Islands,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,62,-6.75
Kongshavn, ,Faroe Islands,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,62.116667,-6.733333
Runavik, ,Faroe Islands,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,62.116667,-6.716667
Vestmanna,Vestmanhavn,Faroe Islands,North Atlantic Ocean,Very Small,Coastal (Natural),Fishing,None,62.15,-7.166667
Sorvagur,Sorvaag,Faroe Islands,North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,62.083333,-7.25
Fuglafjordur,Fuglefjord,Faroe Islands,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,None,62.25,-6.8
Klaksvik, ,Faroe Islands,Norwegian Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,None,62.233333,-6.583333
Lele Harbor, ,Federated States of Micronesia,North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,5.333333,163.033333
Pohnpei Harbor,Langar Road,Federated States of Micronesia,North Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,6.983333,158.2
Colonia,Tomil Harbor; Yap Colonia International Port,Federated States of Micronesia,North Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,9.516667,138.133333
Lautoka Harbor, ,Fiji,South Pacific Ocean,Very Small,Coastal (Breakwater),Unknown,Small,-17.6,177.45
Suva Harbor, ,Fiji,South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-18.133333,178.416667
Levuka, ,Fiji,South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-17.683333,178.833333
